,access,air_conditioning,alt_name,amenity,area,backrest,bench,bin,boundingbox,bridge,building,building:colour,building:levels,building:part,building:roof,bus,camera:angle,city,colour,contact:website,covered,description,display_name,drinking_water,ele,emergency,fee,fireplace,fixme,genus,geometry,height,highway,historic,indoor,information,int_name,internet_access,layer,leaf_cycle,leaf_type,leisure,level,lit,lockable,man_made,material,min_height,name,name:en,name:fr,name:ja,name:ja-Hira,name:ja-Latn,name:ja_kana,name:ja_rm,natural,nodes,note,note:ja,opening_hours,operator,passenger_information_display,picnic_table,place,playground,playground:theme,points,postcode,province,public_transport,railway,ref,roof,roof:colour,roof:material,roof:shape,room,seat,seats,shelter,shelter_type,smoking,source,source:geometry,source:landuse,source_ref,species,species:en,species:ja,sport,start_date,surface,table,taxon,toilets,toilets:access,tourism,train,type,ways,website,wheelchair,wikidata,wikipedia
"('node', 7572015462)",,,,shelter,,,yes,no,"['40.5222264', '40.5228395', '141.5110929', '141.5133074']",,,,,,,,,八戸市,,,,,"江陽五丁目, 八戸市, 青森県, 031-0001, 日本",,,,,,,,POINT (141.5131205 40.5223089),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aomori,,,POINT (141.5131205 40.5223089),031-0001,青森県,,,,,,,,,,,,sun_shelter,,,,,,,,,,,,,,,,,,,,,,,
"('node', 7572015463)",,,,shelter,,,yes,,"['40.5165951', '40.5170911', '141.5118557', '141.5118859']",,,,,,,,,八戸市,,,,,"小中野三丁目, 八戸市, 青森県, 031-0001, 日本",,,,,,,,POINT (141.5117894 40.5166791),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aomori,,,POINT (141.5117894 40.5166791),031-0001,青森県,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"('node', 7591823553)",,,,shelter,,,yes,no,"['40.4912785', '40.4933591', '141.5104518', '141.5125005']",,,,,,,,,八戸市,,,,,"田向三丁目, 八戸市, 青森県, 031-0004, 日本",,,,,,,,POINT (141.51153 40.4925321),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aomori,,,POINT (141.51153 40.4925321),031-0004,青森県,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"('node', 7591859625)",,,,shelter,,,,,"['40.489582', '40.4899723', '141.5066032', '141.5073348']",,,,,,,,,八戸市,,,,,"田向四丁目, 八戸市, 青森県, 031-0004, 日本",,,,,,,,POINT (141.5068301 40.4899157),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aomori,,,POINT (141.5068301 40.4899157),031-0004,青森県,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"('node', 7591859626)",,,,shelter,,,yes,no,"['40.490733', '40.4910022', '141.5078682', '141.5085731']",,,,,,,,,八戸市,,,,,"田向四丁目, 八戸市, 青森県, 031-0004, 日本",,,,,,,,POINT (141.5083881 40.4906402),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aomori,,,POINT (141.5083881 40.4906402),031-0004,青森県,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"('node', 7597605943)",,,,shelter,,,,,"['40.5001396', '40.500419', '141.5397727', '141.540342']",,,,,,,,,八戸市,,,,,"八戸市立東公民館, 八戸バイパス, 桜ケ丘一丁目, 八戸市, 青森県, 031-0823, 日本",,,,,,,,POINT (141.5399618 40.500577),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aomori,,,POINT (141.5399618 40.500577),031-0823,青森県,,,,,,,,,,,,picnic_shelter,,,,,,,,,,,,,,,,,,,,,,,
"('way', 545682391)",,,,shelter,,,yes,no,"['40.5020832', '40.5027722', '141.5090832', '141.5098558']",,,,,,,,,八戸市,,,,,"古川頭公園, 芸術ふれあいの道, 南類家四丁目, 八戸市, 青森県, 031-0001, 日本",,,,,,,,"POLYGON ((141.509483 40.5027722, 141.5090832 40.5025974, 141.50945 40.5020876, 141.5094665 40.5020832, 141.509846 40.5022372, 141.5098558 40.5022685, 141.509483 40.5027722))",,,,,,,,,,,park,,,,,,,古川頭公園,,,,,,,,,"[5829434820, 5829434823, 5829434822, 5829434818, 5829434819, 5829434821, 5829434820]",,,24/7,,,,Aomori,,,POINT (141.5094742360334 40.5024237011558),031-0001,青森県,,,,,,,,,,,roof,,,GSI/KIBAN 2500;NARO;survey,,,,,,,,,,,,,,,,,,,,,
"('way', 553291929)",,,,shelter,,,,,"['40.5412913', '40.5419725', '141.511484', '141.5121406']",,yes,,,,,,,八戸市,,,,,"豊洲, 八戸市, 青森県, 031-0032, 日本",,,,,,,,"POLYGON ((141.5118362 40.542439, 141.5119502 40.5424645, 141.511959 40.5424417, 141.511845 40.5424162, 141.5118362 40.542439))",,,,,,,,,,,,,,,,,,,,,,,,,,,"[5341051004, 5341051003, 5341051002, 5341051001, 5341051004]",,,,,,,Aomori,,,POINT (141.5118976 40.54244035000001),031-0032,青森県,,,,,,,,,,,,picnic_shelter,,,,,,,,,,,,,,,,,,,,,,,
"('way', 553291930)",,,,shelter,,,,,"['40.5412913', '40.5419725', '141.511484', '141.5121406']",,yes,,,,,,,八戸市,,,,,"豊洲, 八戸市, 青森県, 031-0032, 日本",,,,,,,,"POLYGON ((141.5136373 40.5428538, 141.513754 40.5428782, 141.5137613 40.542858, 141.5136447 40.5428335, 141.5136373 40.5428538))",,,,,,,,,,,,,,,,,,,,,,,,,,,"[5341051008, 5341051007, 5341051006, 5341051005, 5341051008]",,,,,,,Aomori,,,POINT (141.5136992707285 40.54285586454618),031-0032,青森県,,,,,,,,,,,,picnic_shelter,,,,,,,,,,,,,,,,,,,,,,,
"('way', 553291931)",,,,shelter,,,,,"['40.5412913', '40.5419725', '141.511484', '141.5121406']",,yes,,,,,,,八戸市,,,,,"豊洲, 八戸市, 青森県, 031-0032, 日本",,,,,,,,"POLYGON ((141.5125725 40.5420894, 141.5126382 40.5420466, 141.5126068 40.5420188, 141.512541 40.5420616, 141.5125725 40.5420894))",,,,,,,,,,,,,,,,,,,,,,,,,,,"[5341051012, 5341051011, 5341051010, 5341051009, 5341051012]",,,,,,,Aomori,,,POINT (141.5125896153158 40.54205410278048),031-0032,青森県,,,,,,,,,,,,picnic_shelter,,,,,,,,,,,,,,,,,,,,,,,
